name,nationality,sex,height,sport,gold,silver,bronze
A Jesus Garcia,ESP,male,1.72,athletics,0,0,0
A Lam Shin,KOR,female,1.68,fencing,0,0,0
Aaron Brown,CAN,male,1.98,athletics,0,0,1
Aaron Cook,MDA,male,1.83,taekwondo,0,0,0
Aaron Gate,NZL,male,1.81,cycling,0,0,0
Aaron Royle,AUS,male,1.80,triathlon,0,0,0
Aaron Russell,USA,male,2.05,volleyball,0,0,1
Aaron Younger,AUS,male,1.93,aquatics,0,0,0
Aauri Lorena Bokesa,ESP,female,1.80,athletics,0,0,0
Ababel Yeshaneh,ETH,female,1.65,athletics,0,0,0
Abadi Hadis,ETH,male,1.70,athletics,0,0,0
Abbas Abubakar Abbas,BRN,male,1.75,athletics,0,0,0
Abbas Qali,IOA,male,,aquatics,0,0,0
Abbey D'Agostino,USA,female,1.61,athletics,0,0,0
Abbey Weitzeil,USA,female,1.78,aquatics,1,1,0
Abbie Brown,GBR,female,1.76,rugby sevens,0,0,0
Abbos Rakhmonov,UZB,male,1.61,wrestling,0,0,0
Abbubaker Mobara,RSA,male,1.75,football,0,0,0
Abby Erceg,NZL,female,1.75,football,0,0,0
Abd Elhalim Mohamed Abou,EGY,male,2.10,volleyball,0,0,0
Abdalaati Iguider,MAR,male,1.73,athletics,0,0,0
Abdalelah Haroun,QAT,male,1.85,athletics,0,0,0
Abdalla Targan,SUD,male,1.77,athletics,0,0,0
Abdel Aziz Mehelba,EGY,male,1.76,shooting,0,0,0
Abdelati El Guesse,MAR,male,1.90,athletics,0,0,0
Abdelaziz Merzougui,ESP,male,1.75,athletics,0,0,0
Abdelaziz Mohamed Ahmed,SUD,male,1.81,aquatics,0,0,0
Abdelghani Demmou,ALG,male,1.85,football,0,0,0
Abdelhafid Benchabla,ALG,male,1.86,boxing,0,0,0
Abdelhakim Amokrane,ALG,male,1.86,football,0,0,0
Abdelkader Chadi,ALG,male,1.78,boxing,0,0,0
Abdelkadir Salhi,ALG,male,1.85,football,0,0,0
Abdelkebir Ouaddar,MAR,male,1.74,equestrian,0,0,0
Abdelkhalek Elbanna,EGY,male,1.93,rowing,0,0,0
Abdellatif Mohamed Ahmed Mohamed,EGY,male,1.76,wrestling,0,0,0
Abdelmajid El Hissouf,MAR,male,1.70,athletics,0,0,0
Abdelmalik Lahoulou,ALG,male,1.77,athletics,0,0,0
Abdelrahman Salah Orabi Abdelgawwad,EGY,male,1.85,boxing,0,0,0
Abdelraouf Benguit,ALG,male,1.70,football,0,0,0
Abderrahmane Benamadi,ALG,male,1.83,judo,0,0,0
Abderrahmane Mansouri,ALG,male,1.72,cycling,0,0,0
Abderrahmane Meziane,ALG,male,1.68,football,0,0,0
Abdi Hakin Ulad,DEN,male,1.75,athletics,0,0,0
Abdi Nageeye,NED,male,1.65,athletics,0,0,0
Abdi Waiss Mouhyadin,DJI,male,1.60,athletics,0,0,0
Abdoul Khadre Mbaye Niane,SEN,male,1.90,aquatics,0,0,0
Abdoulkarim Fawziya,CMR,female,1.80,volleyball,0,0,0
Abdoullah Bamoussa,ITA,male,,athletics,0,0,0
Abdoulrazak Issoufou Alfaga,NIG,male,2.07,taekwondo,0,1,0
Abdul Khalili,SWE,male,1.81,football,0,0,0
Abdul Omar,GHA,male,,boxing,0,0,0
Abdul Wahab Zahiri,AFG,male,1.75,athletics,0,0,0
Abdulaziz Alshatti,IOA,male,,fencing,0,0,0
Abdulkadir Abdullayev,AZE,male,1.88,boxing,0,0,0
Abdullah Abkar Mohammed,KSA,male,1.72,athletics,0,0,0
Abdullah Alrashidi,IOA,male,1.83,shooting,0,0,1
Abdullah Hel Baki,BAN,male,,shooting,0,0,0
Abdullahi Shehu,NGR,male,1.70,football,0,0,1
Abdullo Tangriev,UZB,male,1.90,judo,0,0,0
Abdulrahman Al Faihan,IOA,male,,shooting,0,0,0
Abdulrashid Sadulaev,RUS,male,1.77,wrestling,1,0,0
Abdulrazzaq Murad,QAT,male,1.86,handball,0,0,0
Abeku Gyekye Jackson,GHA,male,,aquatics,0,0,0
Abhinav Bindra,IND,male,1.75,shooting,0,0,0
Abigail Johnston,USA,female,1.66,aquatics,0,0,0
Abigel Joo,HUN,female,1.83,judo,0,0,0
Ablaikhan Zhussupov,KAZ,male,1.75,boxing,0,0,0
Abraham Kipchirchir Rotich,BRN,male,1.83,athletics,0,0,0
Abraham Naibei Cheroben,BRN,male,1.76,athletics,0,0,0
Abraham Niyonkuru,BDI,male,1.62,athletics,0,0,0
Abrar Osman,ERI,male,1.68,athletics,0,0,0
Abubaker Haydar Abdalla,QAT,male,1.80,athletics,0,0,0
Achraf Kharroubi,MAR,male,1.60,boxing,0,0,0
Adam Batirov,BRN,male,1.65,wrestling,0,0,0
Adam Cwalina,POL,male,1.87,badminton,0,0,0
Adam Decker,HUN,male,2.03,aquatics,0,0,0
Adam Dixon,GBR,male,1.69,hockey,0,0,0
Adam Froese,CAN,male,1.82,hockey,0,0,0
Adam Gemili,GBR,male,1.78,athletics,0,0,0
Adam Imer,BRA,male,1.82,hockey,0,0,0
Adam Kszczot,POL,male,1.78,athletics,0,0,0
Adam Lundqvist,SWE,male,1.74,football,0,0,0
Adam Marosi,HUN,male,1.81,modern pentathlon,0,0,0
Adam Okruashvili,GEO,male,1.89,judo,0,0,0
Adam Pattantyus,HUN,male,1.75,table tennis,0,0,0
Adam Peaty,GBR,male,1.93,aquatics,1,1,0
Adam Sebastian Helcelet,CZE,male,1.90,athletics,0,0,0
Adam Telegdy,HUN,male,1.94,aquatics,0,0,0
Adam Vella,AUS,male,1.78,shooting,0,0,0
Adam Viktora,SEY,male,1.88,aquatics,0,0,0
Adam Wisniewski,POL,male,1.93,handball,0,0,0
Adam Yates,GBR,male,1.72,cycling,0,0,0
Adam van Koeverden,CAN,male,1.82,canoe,0,0,0
Adama Diatta,SEN,male,1.65,wrestling,0,0,0
Adama Jammeh,GAM,male,,athletics,0,0,0
Adas Juskevicius,LTU,male,1.94,basketball,0,0,0
Adel Gholami,IRI,male,1.95,volleyball,0,0,0
Adel Mechaal,ESP,male,1.82,athletics,0,0,0
Adel Mojallalimoghadam,IRI,male,1.85,canoe,0,0,0
Adela Bruns,CZE,female,1.71,shooting,0,0,0
Adela Hanzlickova,CZE,female,1.71,wrestling,0,0,0
Adelina Bogus,ROU,female,1.86,rowing,0,0,1
Adelina Pastor,ROU,female,1.68,athletics,0,0,0
Adelinde Cornelissen,NED,female,1.68,equestrian,0,0,0
Adeline Maria Gray,USA,female,1.73,wrestling,0,0,0
Adem Boudjemline,ALG,male,1.80,wrestling,0,0,0
Adenizia da Silva,BRA,female,1.87,volleyball,0,0,0
Adham Ahmed Saleh Kahk,EGY,male,1.60,wrestling,0,0,0
Adilbek Niyazymbetov,KAZ,male,1.80,boxing,0,1,0
Adilson da Silva,BRA,male,1.70,golf,0,0,0
Aditi Ashok,IND,female,1.73,golf,0,0,0
Adlan Abdurashidov,RUS,male,1.72,boxing,0,0,0
Adnan Maric,SWE,male,1.83,football,0,0,0
Adrian Andres Puentes Perez,CUB,male,1.71,archery,0,0,0
Adrian Baches,BRA,male,1.84,aquatics,0,0,0
Adrian Blocki,POL,male,1.74,athletics,0,0,0
Adrian Chacon,CUB,male,1.87,athletics,0,0,0
Adrian Crisan,ROU,male,1.86,table tennis,0,0,0
Adrian Dziolko,POL,male,1.89,badminton,0,0,0
Adrian Eduardo Goide Arredondo,CUB,male,1.91,volleyball,0,0,0
Adrian Edward Zielinski,POL,male,1.70,weightlifting,0,0,0
Adrian Gavira Collado,ESP,male,1.93,volleyball,0,0,0
Adrian Gomboc,SLO,male,1.70,judo,0,0,0
Adrian Griffith,BAH,male,1.78,athletics,0,0,0
Adrian Ignacio Carambula Raurich,ITA,male,1.82,volleyball,0,0,0
Adrian Juhasz,HUN,male,1.88,rowing,0,0,0
Adrian Oquendo,CUB,male,1.89,rowing,0,0,0
Adrian Portela,ARG,male,1.85,handball,0,0,0
Adriana Aparecida da Silva,BRA,female,1.66,athletics,0,0,0
Adriana Araujo,BRA,female,1.67,boxing,0,0,0
Adriana Diaz,PUR,female,1.60,table tennis,0,0,0
Adriana Martin,ESP,female,1.62,archery,0,0,0
Adriana Moises,BRA,female,1.70,basketball,0,0,0
Adrien Bart,FRA,male,1.85,canoe,0,0,0
Adrien Dipanda,FRA,male,2.02,handball,0,1,0
Adrien Niyonshuti,RWA,male,1.65,cycling,0,0,0
Adrienne Martelli,USA,female,1.86,rowing,0,0,0
Adzo Rebecca Kpossi,TOG,female,1.58,aquatics,0,0,0
Ae-Ri Noort,NED,female,1.60,rowing,0,0,0
Afa Ismail,MDV,female,,athletics,0,0,0
Afaf Elhodhod,EGY,female,1.63,shooting,0,0,0
Afef Ben Ismail,TUN,female,1.73,canoe,0,0,0
Africa Zamorano Sanz,ESP,female,1.70,aquatics,0,0,0
Afrodite Zegers,NED,female,1.61,sailing,0,0,0
Agata Forkasiewicz,POL,female,1.68,athletics,0,0,0
Agatha Bednarczuk,BRA,female,1.82,volleyball,0,1,0
Ageze Guadie,ISR,male,1.75,athletics,0,0,0
Aglaia Pezzato,ITA,female,1.75,aquatics,0,0,0
Agnes Osazuwa,NGR,female,1.62,athletics,0,0,0
Agnes Raharolahy,FRA,female,1.67,athletics,0,0,0
Agnese Pastare,LAT,female,1.79,athletics,0,0,0
Agnete Kirk Thinggaard,DEN,female,1.72,equestrian,0,0,0
Agnieszka Dygacz,POL,female,1.60,athletics,0,0,0
Agnieszka Jadwiga Wieszczek-Kordus,POL,female,1.75,wrestling,0,0,0
Agnieszka Jerzyk,POL,female,1.70,triathlon,0,0,0
Agnieszka Kobus,POL,female,1.77,rowing,0,0,1
Agnieszka Nagay,POL,female,1.69,shooting,0,0,0
Agnieszka Radwanska,POL,female,1.73,tennis,0,0,0
Agnieszka Skrzypulec,POL,female,1.66,sailing,0,0,0
Agnieszka Szwarnog,POL,female,1.65,athletics,0,0,0
Agustin Mazzilli,ARG,male,1.73,hockey,1,0,0
Agustin Vidal,ARG,male,1.94,handball,0,0,0
Agustina Albertarrio,ARG,female,1.65,hockey,0,0,0
Agustina Habif,ARG,female,1.65,hockey,0,0,0
Ahmad Abughaush,JOR,male,1.78,taekwondo,1,0,0
Ahmad Alafasi,IOA,male,,shooting,0,0,0
Ahmad Amsyar Azman,MAS,male,1.62,aquatics,0,0,0
Ahmad Hazer,LIB,male,1.88,athletics,0,0,0
Ahmed Abdelaal,EGY,male,1.88,volleyball,0,0,0
Ahmed Abdelhay,EGY,male,1.97,volleyball,0,0,0
Ahmed Abelrahman,EGY,male,1.65,judo,0,0,0
Ahmed Afifi,EGY,male,1.94,volleyball,0,0,0
Ahmed Akram,EGY,male,1.88,aquatics,0,0,0
Ahmed Ali,SUD,male,1.73,athletics,0,0,0
Ahmed Attellesey,LBA,male,,aquatics,0,0,0
Ahmed Bader Magour,QAT,male,1.90,athletics,0,0,0
Ahmed Darwish,EGY,male,1.72,shooting,0,0,0
Ahmed El Kotb,EGY,male,1.97,volleyball,0,0,0
Ahmed El-Nemr,EGY,male,1.83,archery,0,0,0
Ahmed Elahmar,EGY,male,1.81,handball,0,0,0
Ahmed Gebrel,PLE,male,,aquatics,0,0,0
Ahmed Goumar,NIG,male,1.80,judo,0,0,0
Ahmed Ibrahim,IRQ,male,1.84,football,0,0,0
Ahmed Kamar,EGY,male,1.75,shooting,0,0,0
Ahmed Mathlouthi,TUN,male,1.90,aquatics,0,0,0
Ahmed Mohamed,EGY,male,1.70,shooting,0,0,0
Ahmed Mohamed,EGY,male,1.85,weightlifting,0,0,0
Ahmed Mohamed Ibrahim Saad,EGY,male,1.65,wrestling,0,0,0
Ahmed Ragab,EGY,male,1.74,sailing,0,0,0
Ahmed Saad,EGY,male,1.60,weightlifting,0,0,0
Ahmed Shaban,EGY,male,1.90,shooting,0,0,0
Ahmet Li,TUR,male,1.73,table tennis,0,0,0
Ahmet Orken,TUR,male,1.77,cycling,0,0,0
